Overvaluation (FCF),121%,122%,117%,74%,80%,116%,96%,80%,101%,117%,131%,175%,164%
Overvaluation (Earnings),163%,55%,59%,39%,59%,81%,98%,86%,112%,135%,160%,194%,234%
FCF/PRICE,89.75,64.11,63.11,83.49,63.48,123.87,69.29,73.54,44.13,42.8,25.85,21.67,21.03
P/E,33.18,3.2,16.78,8.49,-196.56,12.83,9.3,7.87,17.29,24.4,31.47,31.12,31.84
Market cap,10.85,9.79,9.75,5.55,6.12,8.61,9.2,8.91,12.09,13.24,12.54,14.12,14.54
ROIC,-4.51,3.54,1.36,1.68,-24.59,-2.06,-6.43,1.16,1.13,4.07,-0.97,-0.67,20.25
Price,21.57,23.99,26.35,15.87,17.69,24.89,26.51,25.74,36.3,39.53,37.76,43.57,44.89
Outcome short,,0.11,0.1,-0.4,0.11,0.41,0.07,-0.03,0.41,0.09,-0.04,0.15,0.03
Outcome long,,,0.22,-0.34,-0.33,0.57,0.5,0.03,0.37,0.54,0.04,0.1,0.19
,,,,,,,,,,,,,
Overvaluation (FCF),,132%,94%,48%,38%,30%,,,,,,6509%,2827%
Overvaluation (Earnings),,,450%,168%,113%,63%,,,,,127%,67%,76%
FCF/PRICE,239.36,138.98,105.08,225.85,327.97,373.33,420.9,"9,180.85","4,230.52",546.77,249.93,321.25,310.4
P/E,-2.31,-4.29,30.85,7.88,-1.31,-1.55,-5.53,-0.06,-0.28,-3.86,13.65,3.83,5.13
Market cap,1.76,4.06,6.72,3.49,2.97,2.57,2.6,0.12,0.27,6.57,37.41,26.45,24.26
ROIC,1.5,0.02,-0.5,-1.6,-0.11,0.73,4.04,1.04,1.82,-0.49,-0.44,-0.49,-0.25
Price,29.32,59.52,80.94,37.56,28.57,20.7,20.86,0.94,2.13,25.25,53.63,42.35,46.82
Outcome short,,1.03,0.36,-0.54,-0.24,-0.28,0.01,-0.95,1.27,10.85,1.12,-0.21,0.11
Outcome long,,,1.76,-0.37,-0.65,-0.45,-0.27,-0.95,-0.9,25.86,24.18,0.68,-0.13
,,,,,,,,,,,,,
Overvaluation (FCF),201%,294%,309%,207%,148%,115%,139%,111%,105%,139%,183%,157%,192%
Overvaluation (Earnings),155%,157%,104%,99%,83%,94%,130%,113%,100%,140%,170%,146%,159%
FCF/PRICE,32.95,26.26,31.31,32.27,40.56,36.22,27.94,31.42,35.38,24.98,22.94,25.23,22.46
P/E,17.57,20.4,16.46,16.66,13.51,14.3,16.75,13.63,13.86,20.8,23.74,23.52,28.06
Market cap,3.16,4.7,3.75,3.59,3.19,3.83,5.56,5.07,5.31,8.06,11.63,11.02,12.58
ROIC,-10.85,1.82,0.7,1.85,158.86,-17.23,-11.04,-15.82,158.29,4.77,0.45,0.5,4.86
Price,29.17,43.46,35.56,37.99,33.65,40.48,66.15,69.63,72.35,110.68,159.28,150.51,170.86
Outcome short,,0.49,-0.18,0.07,-0.11,0.2,0.63,0.05,0.04,0.53,0.44,-0.06,0.14
Outcome long,,,0.22,-0.13,-0.05,0.07,0.97,0.72,0.09,0.59,1.2,0.36,0.07
,,,,,,,,,,,,,
Overvaluation (FCF),279%,324%,400%,158%,165%,159%,136%,156%,88%,110%,102%,94%,89%
Overvaluation (Earnings),598%,465%,493%,214%,206%,176%,151%,163%,94%,115%,106%,97%,92%
FCF/PRICE,455.22,588.27,424.22,699.57,434.52,511.15,513.49,404.43,640.99,629.76,730.83,698.86,706.74
P/E,34.66,33.95,39.07,16.76,20.42,18.73,13.78,15.1,11.99,15.62,11.96,13.6,13.48
Market cap,44.77,65.86,133.85,100.71,166.79,259.93,354.32,626.55,428.72,591.02,615.34,603.25,596.1
ROIC,-25.47,6.67,9.31,6.96,1.84,1.29,1.11,1.11,1.92,3.89,3.61,5.34,24.02
Price,7.66,11,21.92,16.24,26.48,40.54,54.47,95.3,68.11,100.75,110.3,113.05,111.79
Outcome short,,0.44,0.99,-0.26,0.63,0.53,0.34,0.75,-0.29,0.48,0.09,0.02,-0.01
Outcome long,,,1.86,0.48,0.21,1.5,1.06,1.35,0.25,0.06,0.62,0.12,0.01
,,,,,,,,,,,,,
Overvaluation (FCF),,,,,,,,,110%,124%,177%,142%,134%
Overvaluation (Earnings),,,,,,,,,123%,127%,181%,151%,135%
FCF/PRICE,,,,,,,,,198.36,130.26,174.21,183.9,150.44
P/E,,,,,,, -   , -   ,10.2,20.63,59.49,18.93,16.35
