Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
121%,163%,89.75,33.18,10.85,-4.51,21.57,,
122%,55%,64.11,3.2,9.79,3.54,23.99,0.11,
117%,59%,63.11,16.78,9.75,1.36,26.35,0.1,0.22
74%,39%,83.49,8.49,5.55,1.68,15.87,-0.4,-0.34
80%,59%,63.48,-196.56,6.12,-24.59,17.69,0.11,-0.33
116%,81%,123.87,12.83,8.61,-2.06,24.89,0.41,0.57
96%,98%,69.29,9.3,9.2,-6.43,26.51,0.07,0.5
80%,86%,73.54,7.87,8.91,1.16,25.74,-0.03,0.03
101%,112%,44.13,17.29,12.09,1.13,36.3,0.41,0.37
117%,135%,42.8,24.4,13.24,4.07,39.53,0.09,0.54
131%,160%,25.85,31.47,12.54,-0.97,37.76,-0.04,0.04
175%,194%,21.67,31.12,14.12,-0.67,43.57,0.15,0.1
164%,234%,21.03,31.84,14.54,20.25,44.89,0.03,0.19
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,239.36,-2.31,1.76,1.5,29.32,,
132%,,138.98,-4.29,4.06,0.02,59.52,1.03,
94%,450%,105.08,30.85,6.72,-0.5,80.94,0.36,1.76
48%,168%,225.85,7.88,3.49,-1.6,37.56,-0.54,-0.37
38%,113%,327.97,-1.31,2.97,-0.11,28.57,-0.24,-0.65
30%,63%,373.33,-1.55,2.57,0.73,20.7,-0.28,-0.45
,,420.9,-5.53,2.6,4.04,20.86,0.01,-0.27
,,"9,180.85",-0.06,0.12,1.04,0.94,-0.95,-0.95
,,"4,230.52",-0.28,0.27,1.82,2.13,1.27,-0.9
,,546.77,-3.86,6.57,-0.49,25.25,10.85,25.86
,127%,249.93,13.65,37.41,-0.44,53.63,1.12,24.18
6509%,67%,321.25,3.83,26.45,-0.49,42.35,-0.21,0.68
2827%,76%,310.4,5.13,24.26,-0.25,46.82,0.11,-0.13
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
201%,155%,32.95,17.57,3.16,-10.85,29.17,,
294%,157%,26.26,20.4,4.7,1.82,43.46,0.49,
309%,104%,31.31,16.46,3.75,0.7,35.56,-0.18,0.22
207%,99%,32.27,16.66,3.59,1.85,37.99,0.07,-0.13
148%,83%,40.56,13.51,3.19,158.86,33.65,-0.11,-0.05
115%,94%,36.22,14.3,3.83,-17.23,40.48,0.2,0.07
139%,130%,27.94,16.75,5.56,-11.04,66.15,0.63,0.97
111%,113%,31.42,13.63,5.07,-15.82,69.63,0.05,0.72
105%,100%,35.38,13.86,5.31,158.29,72.35,0.04,0.09
139%,140%,24.98,20.8,8.06,4.77,110.68,0.53,0.59
183%,170%,22.94,23.74,11.63,0.45,159.28,0.44,1.2
157%,146%,25.23,23.52,11.02,0.5,150.51,-0.06,0.36
192%,159%,22.46,28.06,12.58,4.86,170.86,0.14,0.07
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
279%,598%,455.22,34.66,44.77,-25.47,7.66,,
324%,465%,588.27,33.95,65.86,6.67,11,0.44,
400%,493%,424.22,39.07,133.85,9.31,21.92,0.99,1.86
158%,214%,699.57,16.76,100.71,6.96,16.24,-0.26,0.48
